Name,Address,Website,latitude,longitude,geocode_status
Jeanne Geiger Crisis Center – Lawrence Office,"280 Merrimack St, Suite 504, Lawrence, MA 01843",https://jeannegeigercrisiscenter.org,42.7025383,-71.1525897,OK_simplified
Joni and Friends New England,"370 Merrimack St, Unit 115, Lawrence, MA 01843",https://joniandfriends.org/new-england,42.7026016,-71.1518547,OK_simplified
Justice Resource Institute,"15 Union St, Lawrence, MA 01840",https://www.jri.org,42.7073763,-71.1535126,OK
"Lawrence CommunityWorks, Inc.","168 Newbury St, Lawrence, MA 01840",https://www.lawrencecommunityworks.org,42.713494,-71.1559939,OK
"Lawrence Family Development & Education Fund, Inc.","34 West St, Lawrence, MA 01841",https://www.lfdcs.org,42.7086123,-71.173692,OK
Lawrence General Hospital (nonprofit),"1 General St, Lawrence, MA 01841",https://www.lawrencegeneral.org,42.7097143,-71.150077,OK
Lawrence History Center,"6 Essex St, Lawrence, MA 01840",https://lawrencehistory.org,42.7075161,-71.1537024,OK
"Lawrence Partnership, Inc.","420 Common St, Lawrence, MA 01840",https://www.lawrencepartnership.org,42.7066571,-71.1654068,OK
"Lawrence Prospera (Lawrence Family Development, Inc.)","355 Haverhill St, Lawrence, MA 01840",https://www.lawrenceprospera.org,42.7093756,-71.1696151,OK
Lawrence Prospera (SISU),"417 Canal Street, Lawrence, MA 01840",https://www.lawrenceprospera.org/programs/sisu,42.7056268,-71.1631065,OK
Lawrence/Methuen Community Coalition (LMCC),"15 Union St, Lawrence, MA 01840",https://www.lawrencecommunityworks.org/initiatives/lmcc,42.7073763,-71.1535126,OK
Lazarus House Ministries,"412 Hampshire St, Lawrence, MA 01841",https://lazarushouse.org,42.7159135,-71.1715331,OK
MassHire Merrimack Valley Career Center,"255 Essex St, Lawrence, MA 01840",https://www.masshiremvcc.com,42.707818,-71.160145,OK
MassHire Merrimack Valley Workforce Board,"255 Essex St, 4th Floor, Lawrence, MA 01840",https://masshiremvwb.org,42.707818,-71.160145,OK_manual
Merrimack Valley Dream Center,"60 Island Street, Lawrence, MA 01840",https://www.mvdreamcenter.org/,42.7056604,-71.1530802,OK
Merrimack Valley Food Bank,"735 Broadway St, Lowell, MA 01854",https://mvfb.org,42.6426556,-71.3302732,OK
Merrimack Valley Habitat for Humanity (Essex County Habitat ReStore – Lawrence),"647 Andover St, Lawrence, MA 01843",https://www.essexcountyhabitat.org,42.6884892,-71.1783893,OK
Merrimack Valley Immigrant & Education Center (MVIEC),"439 South Union St, Bldg 1, Suite 110, Lawrence, MA 01843",https://mviec.org,42.6909222,-71.1559578,OK_simplified
