base_charge,total_count,category,charge_class
speeding in violation special regulation,15,Motor Vehicle,Misdemeanor
reckless endangerment to children,15,Public Order,Either
license not in possession,15,Motor Vehicle,Misdemeanor
"drug, possess class c",15,Drug Offense,Misdemeanor
"cocaine, trafficking in - over 14 grams",15,Drug Offense,Felony
a&b domestic no 209a in effect,14,Assault/Battery,Misdemeanor
operating to endanger (ote),14,Motor Vehicle,Misdemeanor
"heroin, possess",14,Drug Offense,Misdemeanor
a&b on ambulance personnel,14,Assault/Battery,Felony
larceny over $1200 by single scheme,14,Theft/Larceny,Felony
fugitive from justice on gov's warrant,13,Fugitive/Warrant,Either
"feeding device, possess large capacity",13,Firearm Offense,Felony
disguise to obstruct justice,13,Obstruction of Justice,Misdemeanor
shoplifting $250+ by asportation,13,Theft/Larceny,Felony
home invasion,13,Breaking & Entering,Felony
a&b on +60/disabled,13,Assault/Battery,Felony
"destruction of prop -$1200, wanton",12,Property Destruction,Misdemeanor
possession of a knife over 2 1/2 inches,12,Weapons,Misdemeanor
"lewdness, open and gross",12,Sex Offense,Misdemeanor
juror fail to attend,12,Obstruction of Justice,Misdemeanor
receive stolen property,12,Theft/Larceny,Either
"seat belt, fail wear",12,Motor Vehicle,Misdemeanor
"drug, possess to distrib class e",11,Drug Offense,Felony
"firearm serial no., deface",11,Firearm Offense,Misdemeanor
persons previously convicted of 1 violent crime,11,Violent Crime - Repeat Offender,Felony
"credit card, improper use under $1200",11,Fraud/Financial,Misdemeanor
"credit card, receive stolen",11,Fraud/Financial,Misdemeanor
"robbery, armed & masked",11,Robbery,Felony
larceny by check over $1200,11,Theft/Larceny,Felony
one way street violation,10,Motor Vehicle,Misdemeanor
"license/regis/plates, refuse produce",10,Motor Vehicle,Misdemeanor
destruction of prop -$1200,10,Property Destruction,Misdemeanor
larceny over $250 by false pretense,10,Theft/Larceny,Felony
"license, false application for mv",10,Motor Vehicle,Misdemeanor
"snow/rec veh public way, on",9,Motor Vehicle,Misdemeanor
"turn, improper",9,Motor Vehicle,Misdemeanor
accessory after the fact,9,Obstruction of Justice,Felony
larceny under $1200 by single scheme,9,Theft/Larceny,Misdemeanor
registration revoked op mv with,8,Motor Vehicle,Misdemeanor
destruction of prop +$1200,8,Property Destruction,Felony
mayhem,8,Assault/Battery,Felony
carjacking,8,Robbery,Felony
deface property,8,Property Destruction,Misdemeanor
"dna database sample, refuse provide",8,Obstruction of Justice,Misdemeanor
a&b on public employee,7,Assault/Battery,Felony
"credit card, larceny of",7,Theft/Larceny,Misdemeanor
"cocaine, possess to distribute",7,Drug Offense,Felony
number plate violation to,7,Motor Vehicle,Misdemeanor
crosswalk violation,6,Motor Vehicle,Misdemeanor
unlawful carrying of firearms,6,Firearm Offense,Felony
a&b : serious bodily injury,6,Assault/Battery,Felony
assault w/dangerous weapon +65,6,Assault/Battery,Felony
"destruction of prop +$1200, wanton",6,Property Destruction,Felony
state hway traffic violation,6,Motor Vehicle,Misdemeanor
forgery of document,6,Fraud/Financial,Felony
a&b : pregnant victim,6,Assault/Battery,Felony
probation supervision,6,Obstruction of Justice,Misdemeanor
"yield at intersection, fail",6,Motor Vehicle,Misdemeanor
"drug, distribute class d",6,Drug Offense,Misdemeanor
"animal, cruelty to",6,Public Order,Misdemeanor
"heroin, being present where kept",6,Drug Offense,Misdemeanor
"cocaine, distribute",6,Drug Offense,Felony
criminal harassment,6,Public Order,Either
"insurance claim, false",5,Fraud/Financial,Misdemeanor
a&b in the presence of a police officer,5,Assault/Battery,Misdemeanor
"machine gun, possess",5,Firearm Offense,Felony
tampering with evidence,5,Obstruction of Justice,Felony
stalking,5,Public Order,Felony
impeded operation,5,Motor Vehicle,Misdemeanor
breakdown lane violation,5,Motor Vehicle,Misdemeanor
resist arrest (common law),5,Obstruction of Justice,Misdemeanor
"b&e daytime for felony, person in fear",5,Breaking & Entering,Felony
receive stolen prop -$1200,5,Theft/Larceny,Either
"motor veh, taking & stealing parts",5,Motor Vehicle,Misdemeanor
"liquor, person under 21 possess",5,Public Order,Misdemeanor
larceny under $250 by false pretense,5,Theft/Larceny,Misdemeanor
snow/rec veh unsafe operation,4,Motor Vehicle,Misdemeanor
moped violation,4,Motor Vehicle,Misdemeanor
"bomb threat, false",4,Public Order,Felony
"identify self, refuse",4,Motor Vehicle,Misdemeanor
trespass with motor vehicle,4,Motor Vehicle,Misdemeanor
"license class, operate mv in violation",4,Motor Vehicle,Misdemeanor
"witness, retaliate against",4,Obstruction of Justice,Felony
fugitive from justice without warrant,4,Fugitive/Warrant,Either
intimidate,4,Public Order,Misdemeanor
"license suspended for oui, oper mv with",4,Motor Vehicle,Misdemeanor
"correctional institution, disturb",4,Obstruction of Justice,Misdemeanor
"wit/juror/pol/crt official, intimdt agg",4,Obstruction of Justice,Felony
"nightwalker, common",4,Public Order,Misdemeanor
"drug, distribute class e",4,Drug Offense,Misdemeanor
"credit card, forge or utter forged",4,Fraud/Financial,Felony
a&b on correction officer,4,Assault/Battery,Felony
"safety standards, mv not meeting rmv",4,Motor Vehicle,Misdemeanor
"right lane, fail drive in",4,Motor Vehicle,Misdemeanor
"license, exhibit another's",4,Motor Vehicle,Misdemeanor
"drug, possess class d",4,Drug Offense,Misdemeanor
utter false instrument,4,Fraud/Financial,Felony
"thief, common & notorious",4,Theft/Larceny,Misdemeanor
"firearm in vehicle, leave",4,Firearm Offense,Misdemeanor
"crime report, false",4,Obstruction of Justice,Misdemeanor
"counterfeit note, possess",4,Fraud/Financial,Felony
"counterfeit drug, distribute",4,Drug Offense,Misdemeanor
"license restriction, operate mv in viol",3,Motor Vehicle,Misdemeanor
"firearms, trafficking in +19",3,Drug Offense,Felony
snow/rec veh unregistered,3,Motor Vehicle,Misdemeanor
a&b : on a child,3,Assault/Battery,Felony
registration not in possession,3,Motor Vehicle,Misdemeanor
a&b with dangerous weapon +60,3,Assault/Battery,Felony
"horn violation, mv",3,Motor Vehicle,Misdemeanor
"prostitute, solicit for",3,Sex Offense,Misdemeanor
"witness, intimidate",3,Obstruction of Justice,Felony
enter dwelling at night for felony,3,Breaking & Entering,Felony
"fireworks, possess unlawful",3,Public Order,Misdemeanor
"parole/pardon, fail file",3,Obstruction of Justice,Misdemeanor
"firearm w/defaced no., possess in felony",3,Firearm Offense,Either
"burglary, unarmed",3,Breaking & Entering,Felony
"murder, attempted",3,Violent Crime - Homicide,Felony
obscene matter to minor,3,Sex Offense,Felony
murder,3,Violent Crime - Homicide,Felony
passing violation,3,Motor Vehicle,Misdemeanor
"liquor to person under 21, sell/deliver",3,Public Order,Misdemeanor
"robbery +65, unarmed",3,Robbery,Felony
credit card fraud over $1200,3,Fraud/Financial,Felony
accessory before the fact,3,Obstruction of Justice,Felony
"railroad track, walk/ride on",3,Public Order,Misdemeanor
"assault to rob, armed",3,Robbery,Felony
larceny by check under $1200,3,Theft/Larceny,Misdemeanor
"brakes violation, mv",3,Motor Vehicle,Misdemeanor
indecent exposure,2,Sex Offense,Misdemeanor
snow/rec veh unsafe,2,Motor Vehicle,Misdemeanor
alcohol from open container in mv,2,Motor Vehicle,Misdemeanor
"school bus, fail stop for",2,Motor Vehicle,Misdemeanor
"carjacking, armed",2,Robbery,Felony
"headlights, fail dim",2,Motor Vehicle,Misdemeanor
"assault in dwelling, armed",2,Assault/Battery,Felony
a&b to collect loan,2,Assault/Battery,Misdemeanor
"police horse/dog, mistreat/interfere",2,Obstruction of Justice,Misdemeanor
child under 6 without carseat,2,Motor Vehicle,Misdemeanor
a&b to intimidate,2,Assault/Battery,Misdemeanor
"trespass notice, vandalize",2,Property Destruction,Misdemeanor
state hway wrong way,2,Motor Vehicle,Misdemeanor
"firearm w/defaced no., receive",2,Firearm Offense,Either
abandon mv,2,Motor Vehicle,Misdemeanor
dangerous weapon on school,2,Weapons,Felony
unsafe operation of mv,2,Motor Vehicle,Misdemeanor
"police officer, impersonate",2,Obstruction of Justice,Misdemeanor
oui liquor & serious injury & reckless,2,Motor Vehicle,Misdemeanor
"lewd, wanton & lascivious conduct",2,Sex Offense,Misdemeanor
registration sticker not displayed,2,Motor Vehicle,Misdemeanor
"firearms, trafficking in 3-9",2,Drug Offense,Felony
"emergency vehicle, obstruct",2,Obstruction of Justice,Misdemeanor
"liquor, person under 21",2,Public Order,Misdemeanor
"drug paraphernalia, pos/pur to dist",2,Drug Offense,Misdemeanor
"hypodermic, possess",2,Public Order,Misdemeanor
marine fish striped bass viol,2,Public Order,Misdemeanor
"marihuana, possess",2,Drug Offense,Misdemeanor
persons previously convicted of 2 violent crimes,2,Violent Crime - Repeat Offender,Felony
"taxi fare, evade",2,Public Order,Misdemeanor
assault on ambulance personnel,2,Assault/Battery,Misdemeanor
persons previously convicted of 3 violent crimes,2,Violent Crime - Repeat Offender,Felony
assault on family / household member,2,Assault/Battery,Misdemeanor
"keep right for oncoming mv, fail to",2,Motor Vehicle,Misdemeanor
"recognizance, fail appear upon",2,Obstruction of Justice,Misdemeanor
shoplifting $250+ by concealing mdse,2,Theft/Larceny,Felony
"rmv signature, forge/misuse",2,Motor Vehicle,Misdemeanor
arson of dwelling house,2,Arson,Felony
affray (common law),2,Public Order,Misdemeanor
larceny from person +65,2,Theft/Larceny,Either
"fire call box, tamper with",2,Public Order,Misdemeanor
"notes, possess worthless",2,Fraud/Financial,Misdemeanor
2012 traff over 18grams,2,Drug Offense,Felony
"body armor, use in felony",2,Weapons,Felony
escape from dys,2,Obstruction of Justice,Misdemeanor
"trash, litter",1,Public Order,Misdemeanor
"telephone device, unlawful",1,Public Order,Misdemeanor
larceny under $250,1,Theft/Larceny,Misdemeanor
false name/ss# to law enforcement,1,Fraud/Financial,Misdemeanor
extortion by threat of injury,1,Obstruction of Justice,Misdemeanor
"wit/juror/pol/crt official, intimidate",1,Obstruction of Justice,Felony
"drug, larceny of",1,Drug Offense,Felony
"building, vandalize",1,Property Destruction,Misdemeanor
extortion by false report of crime,1,Obstruction of Justice,Misdemeanor
counterfeit drug,1,Drug Offense,Misdemeanor
leave scene of personal injury causing death,1,Motor Vehicle,Either
"note, forgery of bank",1,Fraud/Financial,Misdemeanor
false statement under penalty of perjury,1,Obstruction of Justice,Misdemeanor
"animal, fail report injury to",1,Public Order,Misdemeanor
"strangulation or suffocation, serious bodily injury",1,Assault/Battery,Felony
violation (unspecified),1,Miscellaneous,Misdemeanor
assault to commit felony,1,Assault/Battery,Felony
hunt/fish on posted property,1,Public Order,Misdemeanor
"contempt, criminal (common law)",1,Obstruction of Justice,Misdemeanor
motor veh in felony/larceny,1,Motor Vehicle,Felony
shoplifting of shopping cart,1,Theft/Larceny,Misdemeanor
"credit card, improper use over $1200",1,Fraud/Financial,Felony
"number plate, misuse official",1,Motor Vehicle,Misdemeanor
failure to display lic and reg following accident,1,Motor Vehicle,Misdemeanor
trafficking in (unspecified),1,Drug Offense,Felony
"suffocation, subsequent offense",1,Assault/Battery,Felony
"trade secret, buy/sell/receive stolen",1,Fraud/Financial,Felony
penalty of perjury,1,Obstruction of Justice,Misdemeanor
"emergency vehicle, wilfully obstruct 3d",1,Obstruction of Justice,Misdemeanor
"drug, obtain by fraud",1,Drug Offense,Felony
kidnapping & endanger minor by relative,1,Violent Crime - Kidnapping,Felony
"firefighter, interfere with",1,Obstruction of Justice,Misdemeanor
"fish propagation area, interfere with",1,Public Order,Misdemeanor
